json_file,sample_id,imagePath,png_exists,is_duplicate_name,n_shapes_total,n_red_shapes
MR0001.json,MR0001,MR0001.JPG,True,False,8,8
MR0657.json,MR0657,MR0658.JPG,True,False,8,8
MR0658.json,MR0658,MR0659.JPG,True,False,4,4
MR0659.json,MR0659,MR0660.JPG,True,False,6,6
MR0660.json,MR0660,MR0661.JPG,True,False,8,8
MR0661.json,MR0661,MR0662.JPG,True,False,8,8
MR0662.json,MR0662,MR0663.JPG,True,False,7,7
MR0663.json,MR0663,MR0664.JPG,True,False,6,6
MR0664.json,MR0664,MR0665.JPG,True,False,7,7
MR0665.json,MR0665,MR0666.JPG,True,False,7,7
MR0666.json,MR0666,MR0667.JPG,True,False,5,5
MR0667.json,MR0667,MR0668.JPG,True,False,7,7
MR0668.json,MR0668,MR0669.JPG,True,False,6,6
MR0669.json,MR0669,MR0670.JPG,True,False,8,8
MR0670.json,MR0670,MR0671.JPG,True,False,7,7
MR0671.json,MR0671,MR0672.JPG,True,False,6,6
MR0672.json,MR0672,MR0673.JPG,True,False,6,6
MR0673.json,MR0673,MR0674.JPG,True,False,6,6
MR0674.json,MR0674,MR0675.JPG,True,False,7,7
MR0675.json,MR0675,MR0676.JPG,True,False,5,5
MR0676.json,MR0676,MR0677.JPG,True,False,6,6
MR0677.json,MR0677,MR0678.JPG,True,False,7,7
MR0678.json,MR0678,MR0679.JPG,True,False,7,7
MR0679.json,MR0679,MR0680.JPG,True,False,6,6
MR0680.json,MR0680,MR0681.JPG,True,False,6,6
MR0681.json,MR0681,MR0682.JPG,True,False,5,5
MR0682.json,MR0682,MR0683.JPG,True,False,6,6
MR0683.json,MR0683,MR0684.JPG,True,False,5,5
MR0656.json,MR0656,MR0657.JPG,True,False,6,6
MR0684.json,MR0684,MR0685.JPG,True,False,7,7
MR0655.json,MR0655,MR0656.JPG,True,False,5,5
MR0653.json,MR0653,MR0654.JPG,True,False,6,6
MR0626.json,MR0626,MR0627.JPG,True,False,5,5
MR0627.json,MR0627,MR0628.JPG,True,False,6,6
MR0628.json,MR0628,MR0629.JPG,True,False,6,6
MR0629.json,MR0629,MR0630.JPG,True,False,4,4
MR0630.json,MR0630,MR0631.JPG,True,False,6,6
MR0631.json,MR0631,MR0632.JPG,True,False,5,5
MR0632.json,MR0632,MR0633.JPG,True,False,4,4
MR0633.json,MR0633,MR0634.JPG,True,False,6,6
MR0634.json,MR0634,MR0635.JPG,True,False,4,4
MR0635.json,MR0635,MR0636.JPG,True,False,4,4
MR0636.json,MR0636,MR0637.JPG,True,False,6,6
MR0637.json,MR0637,MR0638.JPG,True,False,6,6
MR0638.json,MR0638,MR0639.JPG,True,False,9,9
MR0639.json,MR0639,MR0640.JPG,True,False,8,8
MR0640.json,MR0640,MR0641.JPG,True,False,7,7
MR0641.json,MR0641,MR0642.JPG,True,False,6,6
MR0642.json,MR0642,MR0643.JPG,True,False,6,6
MR0643.json,MR0643,MR0644.JPG,True,False,8,8
MR0644.json,MR0644,MR0645.JPG,True,False,5,5
MR0645.json,MR0645,MR0646.JPG,True,False,8,8
MR0646.json,MR0646,MR0647.JPG,True,False,7,7
MR0647.json,MR0647,MR0648.JPG,True,False,5,5
MR0648.json,MR0648,MR0649.JPG,True,False,5,5
MR0649.json,MR0649,MR0650.JPG,True,False,7,7
MR0650.json,MR0650,MR0651.JPG,True,False,5,5
MR0651.json,MR0651,MR0652.JPG,True,False,8,8
MR0652.json,MR0652,MR0653.JPG,True,False,6,6
MR0654.json,MR0654,MR0655.JPG,True,False,7,7
MR0685.json,MR0685,MR0686.JPG,True,False,4,4
MR0686.json,MR0686,MR0687.JPG,True,False,5,5
MR0687.json,MR0687,MR0688.JPG,True,False,5,5
MR0720.json,MR0720,MR0721.JPG,True,False,5,5
MR0721.json,MR0721,MR0722.JPG,True,False,5,5
MR0722.json,MR0722,MR0723.JPG,True,False,5,5
MR0723.json,MR0723,MR0724.JPG,True,False,5,5
MR0724.json,MR0724,MR0725.JPG,True,False,5,5
MR0725.json,MR0725,MR0726.JPG,True,False,6,6
MR0726.json,MR0726,MR0727.JPG,True,False,7,7
MR0727.json,MR0727,MR0728.JPG,True,False,5,5
MR0728.json,MR0728,MR0729.JPG,True,False,10,10
MR0729.json,MR0729,MR0730.JPG,True,False,8,8
MR0730.json,MR0730,MR0731.JPG,True,False,7,7
MR0731.json,MR0731,MR0732.JPG,True,False,8,8
MR0732.json,MR0732,MR0733.JPG,True,False,8,8
MR0733.json,MR0733,MR0734.JPG,True,False,8,8
MR0734.json,MR0734,MR0735.JPG,True,False,10,10
MR0735.json,MR0735,MR0736.JPG,True,False,7,7
MR0736.json,MR0736,MR0737.JPG,True,False,9,9
MR0737.json,MR0737,MR0738.JPG,True,False,8,8
MR0738.json,MR0738,MR0739.JPG,True,False,5,5
MR0739.json,MR0739,MR0740.JPG,True,False,5,5
MR0740.json,MR0740,MR0741.JPG,True,False,6,6
MR0741.json,MR0741,MR0742.JPG,True,False,5,5
MR0742.json,MR0742,MR0743.JPG,True,False,6,6
MR0743.json,MR0743,MR0744.JPG,True,False,6,6
MR0744.json,MR0744,MR0745.JPG,True,False,6,6
MR0745.json,MR0745,MR0746.JPG,True,False,8,8
MR0746.json,MR0746,MR0747.JPG,True,False,5,5
MR0719.json,MR0719,MR0720.JPG,True,False,5,5
MR0718.json,MR0718,MR0719.JPG,True,False,5,5
MR0717.json,MR0717,MR0718.JPG,True,False,6,6
